trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
27,1,True,0,13,1,27,0,,,,catch,0,,1,,0,0,0.92,,
28,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,0.95,,
29,1,True,1,14,0,11,0,,,,catch,0,,1,,0,0,1.43,,
30,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,0.9,,
31,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.4,,
32,2,True,1,14,0,17,0,,,,catch,0,,1,,0,0,0.95,,
33,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.05,,
34,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,0.8,,
35,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.1,,
36,2,True,0,15,0,18,1,,,,catch,0,,1,,0,0,1.09,,
37,2,True,1,14,1,30,1,,,,catch,0,,1,,0,0,1.57,,
38,2,True,0,14,0,29,1,,,,catch,0,,1,,0,0,1.25,,
39,2,True,1,13,0,4,0,,,,catch,0,,1,,0,0,1.39,,
40,2,True,0,14,0,6,1,,,,catch,0,,1,,0,0,1.26,,
41,2,True,0,14,1,13,0,,,,catch,0,,1,,0,0,1.38,,
42,2,True,1,15,0,31,0,,,,catch,0,,1,,0,0,1.22,,
43,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.17,,
44,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.17,,
45,2,True,0,14,1,13,0,,,,catch,0,,1,,0,0,1.14,,
46,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.3,,
47,2,True,1,15,0,31,0,,,,catch,0,,1,,0,0,0.9,,
48,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,0.83,,
49,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.05,,
50,2,True,0,14,1,21,0,,,,catch,0,,1,,0,0,1.31,,
51,2,True,0,15,0,23,1,,,,catch,0,,1,,0,0,1.08,,
52,2,True,0,15,0,9,1,,,,catch,0,,1,,0,0,0.78,,
53,2,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.19,,
54,2,True,0,14,0,8,1,,,,catch,0,,1,,0,0,0.89,,
55,2,True,0,13,0,29,1,,,,catch,0,,1,,0,0,0.76,,
56,2,True,0,13,0,42,1,,,,catch,0,,1,,0,0,1.48,,
57,2,True,1,12,0,46,0,,,,catch,0,,1,,0,0,1.63,,
58,2,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.1,,
59,2,True,0,13,0,13,1,,,,catch,0,,1,,0,0,0.75,,
60,2,True,0,12,0,1,1,,,,catch,0,,1,,0,0,1.4,,
61,3,False,1,12,0,5,0,0,2,0,forceblk4,1,1,0,1,1,0,1.25,5.26,6.26
62,3,False,0,12,1,4,0,0,45,1,forceblk4,2,2,0,0,1,0,1.54,2.4,3.4
63,3,False,1,12,0,9,0,0,8,0,forceblk4,1,1,0,1,1,0,1.41,1.25,2.26
64,3,False,1,12,0,20,0,1,45,1,forceblk4,2,2,0,1,1,0,1.31,2.13,3.13
65,3,False,1,12,0,2,0,0,6,0,forceblk4,1,1,0,1,1,0,0.99,2.89,3.89
66,3,False,1,12,0,28,0,1,50,1,forceblk4,2,2,0,1,1,0,1.0,1.62,2.62
67,3,False,0,12,0,6,1,0,50,1,forceblk4,2,2,0,0,1,0,1.14,1.18,2.18
68,3,False,1,12,0,5,0,1,6,1,forceblk4,1,1,0,1,1,0,0.87,1.37,2.38
69,3,False,1,12,0,4,0,1,50,1,forceblk4,2,2,0,1,1,0,0.91,1.86,2.86
70,3,False,0,12,0,5,1,1,50,0,forceblk4,1,1,0,1,0,0,0.92,1.75,2.76
71,3,False,0,12,0,8,1,1,50,0,forceblk4,2,2,0,1,0,0,0.87,1.09,2.09
72,3,False,1,12,1,1,1,1,7,1,forceblk4,1,1,0,1,1,0,2.14,1.77,2.77
73,3,False,1,12,0,8,0,1,50,1,forceblk4,2,2,0,1,1,0,0.87,1.14,2.14
74,3,False,1,12,1,2,1,0,7,0,forceblk4,1,1,0,0,0,0,0.93,1.14,2.14
75,3,False,1,12,0,2,0,1,43,1,forceblk4,2,2,0,1,1,0,1.52,1.22,2.22
76,3,False,0,12,1,14,0,1,15,0,forceblk4,1,1,0,0,1,0,1.18,2.15,3.15
77,3,False,1,12,1,3,1,0,50,0,forceblk4,2,2,0,0,0,0,1.26,1.74,2.74
78,3,False,1,12,1,3,1,1,7,1,forceblk4,1,1,0,0,0,0,1.23,1.99,2.99
79,3,False,0,12,0,3,1,0,50,1,forceblk4,2,2,0,0,1,0,1.59,1.04,2.04
80,3,False,0,12,1,4,0,1,3,0,forceblk4,1,1,0,0,1,0,1.17,1.08,2.08
81,3,False,1,12,1,4,1,0,48,0,forceblk4,2,2,0,0,0,0,0.83,1.13,2.13
82,3,False,0,12,0,7,1,0,12,1,forceblk4,1,1,0,1,0,0,1.11,1.25,2.26
83,3,False,0,12,0,8,1,0,46,1,forceblk4,2,2,0,0,1,0,1.43,2.32,3.33
84,3,False,1,12,0,17,0,0,50,0,forceblk4,1,1,0,0,0,0,0.91,2.43,3.43
85,3,False,0,12,0,4,1,0,50,1,forceblk4,2,2,0,0,1,0,1.05,1.29,2.29
86,3,False,0,12,0,3,1,0,5,1,forceblk4,1,1,0,1,0,0,0.77,2.66,3.66
