trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
21,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,3.39,,
22,1,True,1,15,0,13,0,,,,catch,0,,1,,0,0,2.2,,
23,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.93,,
24,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.35,,
25,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.71,,
26,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.61,,
27,1,True,1,14,0,19,0,,,,catch,0,,1,,0,0,2.06,,
28,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,4.61,,
29,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.21,,
30,1,True,1,14,0,14,0,,,,catch,0,,1,,0,0,1.63,,
31,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.44,,
32,2,True,0,15,0,19,1,,,,catch,0,,1,,0,0,1.73,,
33,2,True,0,14,0,11,1,,,,catch,0,,1,,0,0,1.67,,
34,2,True,0,14,1,14,0,,,,catch,0,,1,,0,0,2.01,,
35,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.31,,
36,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.8,,
37,2,True,0,14,1,19,0,,,,catch,0,,1,,0,0,2.03,,
38,2,True,1,15,1,33,1,,,,catch,0,,1,,0,0,2.07,,
39,2,True,0,15,1,41,0,,,,catch,0,,1,,0,0,1.88,,
40,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,3.1,,
41,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.67,,
42,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.98,,
43,2,True,1,14,0,6,0,,,,catch,0,,1,,0,0,1.21,,
44,2,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.42,,
45,2,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.34,,
46,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.71,,
47,2,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.96,,
48,2,True,0,15,1,35,0,,,,catch,0,,1,,0,0,1.96,,
49,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.28,,
50,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.85,,
51,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.22,,
52,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.87,,
53,2,True,0,14,0,6,1,,,,catch,0,,1,,0,0,1.39,,
54,2,True,1,14,1,4,1,,,,catch,0,,1,,0,0,1.7,,
55,2,True,0,13,1,8,0,,,,catch,0,,1,,0,0,1.97,,
56,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.75,,
57,2,True,0,14,1,4,0,,,,catch,0,,1,,0,0,1.46,,
58,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.2,,
59,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.8,,
60,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,1.76,,
61,3,False,1,15,1,11,1,1,11,1,forceblk4,1,1,0,1,1,0,3.04,6.81,7.82
62,3,False,1,15,1,5,1,0,8,0,forceblk4,2,2,0,0,0,0,2.56,2.99,4.0
63,3,False,0,15,1,3,0,0,3,1,forceblk4,1,1,0,0,1,0,2.2,2.67,3.67
64,3,False,0,15,1,9,0,1,8,0,forceblk4,2,2,0,0,1,0,1.46,2.03,3.04
65,3,False,0,15,1,17,0,1,4,0,forceblk4,1,1,0,0,1,0,1.74,2.82,3.83
66,3,False,1,15,1,16,1,1,24,1,forceblk4,2,2,0,1,1,0,1.34,2.14,3.14
67,3,False,1,15,1,9,1,1,18,1,forceblk4,1,1,0,1,1,0,1.16,1.37,2.38
68,3,False,1,15,1,6,1,0,2,0,forceblk4,2,2,0,0,0,0,1.23,2.65,3.65
69,3,False,1,15,1,5,1,1,19,1,forceblk4,1,1,0,1,1,0,1.12,0.97,1.98
70,3,False,0,15,1,3,0,1,3,0,forceblk4,2,2,0,0,1,0,1.21,3.29,4.3
71,3,False,1,15,1,33,1,1,14,1,forceblk4,2,2,0,0,0,0,2.14,3.26,4.26
72,3,False,1,15,0,7,0,0,24,0,forceblk4,1,1,0,0,0,0,1.83,2.23,3.24
73,3,False,1,15,1,9,1,1,16,1,forceblk4,2,2,0,1,1,0,1.32,1.37,2.37
74,3,False,1,15,0,9,0,1,10,1,forceblk4,1,1,0,1,1,0,1.05,1.08,2.09
75,3,False,1,15,1,10,1,1,48,1,forceblk4,2,2,0,1,1,0,1.24,2.84,3.84
76,3,False,0,15,0,14,1,0,29,1,forceblk4,1,1,0,0,1,0,1.31,1.46,2.47
77,3,False,1,15,1,7,1,1,16,1,forceblk4,2,2,0,1,1,0,1.04,1.15,2.16
78,3,False,1,15,1,4,1,1,18,1,forceblk4,1,1,0,1,1,0,1.3,1.0,2.01
79,3,False,1,15,1,3,1,1,22,1,forceblk4,2,2,0,1,1,0,1.19,1.3,2.31
80,3,False,0,15,0,6,1,0,17,1,forceblk4,1,1,0,0,1,0,1.81,1.75,2.76
81,3,False,0,15,1,4,0,0,5,1,forceblk4,2,2,0,0,1,0,1.94,1.43,2.43
82,3,False,0,15,0,28,1,0,27,1,forceblk4,1,1,0,1,0,0,1.72,2.24,3.26
83,3,False,1,15,1,27,1,1,45,1,forceblk4,2,2,0,1,1,0,1.38,1.44,2.44
84,3,False,0,15,1,23,0,1,19,0,forceblk4,1,1,0,0,1,0,1.24,2.03,3.05
